Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
140.0,2024-03-15,call,META240315C00140000,161.9,160.7,164.45,0.0,0.0,1.0,102.0,0.7830832238769532,META,False,META,297.89,2023-09-08 20:00:01,2023-08-23 17:31:06,"{'contractSymbol': 'META240315C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 161.9, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 102, 'bid': 160.7, 'ask': 164.45, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1692811866, 'impliedVolatility': 0.7830832238769532, 'inTheMoney': True}"
140.0,2024-06-21,call,META240621C00140000,147.3,164.25,166.9,0.0,0.0,1.0,2498.0,0.7302273071289063,META,False,META,297.89,2023-09-08 20:00:01,2023-08-25 16:11:46,"{'contractSymbol': 'META240621C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 147.3, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 2498, 'bid': 164.25, 'ask': 166.9, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1692979906, 'impliedVolatility': 0.7302273071289063, 'inTheMoney': True}"
140.0,2024-09-20,call,META240920C00140000,168.51,166.3,169.95,0.20999146,0.1247721,1.0,4.0,0.6968108932495118,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:24:11,"{'contractSymbol': 'META240920C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 168.51, 'change': 0.20999146, 'percentChange': 0.1247721, 'volume': 1, 'openInterest': 4, 'bid': 166.3, 'ask': 169.95, 'contractSize': 'REGULAR', 'expiration': 1726790400, 'lastTradeDate': 1694201051, 'impliedVolatility': 0.6968108932495118, 'inTheMoney': True}"
140.0,2025-01-17,call,META250117C00140000,170.63,169.75,173.4,0.0,0.0,1.0,2961.0,0.6725801785278321,META,False,META,297.89,2023-09-08 20:00:01,2023-09-01 18:51:29,"{'contractSymbol': 'META250117C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 170.63, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 2961, 'bid': 169.75, 'ask': 173.4, 'contractSize': 'REGULAR', 'expiration': 1737072000, 'lastTradeDate': 1693594289, 'impliedVolatility': 0.6725801785278321, 'inTheMoney': True}"
140.0,2025-06-20,call,META250620C00140000,175.35,173.55,177.7,0.0,0.0,2.0,500.0,0.6492344647216797,META,False,META,297.89,2023-09-08 20:00:01,2023-09-06 16:48:46,"{'contractSymbol': 'META250620C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 175.35, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 500, 'bid': 173.55, 'ask': 177.7, 'contractSize': 'REGULAR', 'expiration': 1750377600, 'lastTradeDate': 1694018926, 'impliedVolatility': 0.6492344647216797, 'inTheMoney': True}"
140.0,2025-12-19,call,META251219C00140000,183.44,179.25,181.8,0.0,0.0,1.0,130.0,0.6361272959899902,META,False,META,297.89,2023-09-08 20:00:01,2023-09-06 15:41:17,"{'contractSymbol': 'META251219C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 183.44, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 130, 'bid': 179.25, 'ask': 181.8, 'contractSize': 'REGULAR', 'expiration': 1766102400, 'lastTradeDate': 1694014877, 'impliedVolatility': 0.6361272959899902, 'inTheMoney': True}"
145.0,2023-09-15,call,META230915C00145000,154.93,151.8,154.15,1.0799866,0.7019737,1.0,7305.0,2.003911240234375,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 17:09:27,"{'contractSymbol': 'META230915C00145000', 'strike': 145.0, 'currency': 'USD', 'lastPrice': 154.93, 'change': 1.0799866, 'percentChange': 0.7019737, 'volume': 1, 'openInterest': 7305, 'bid': 151.8, 'ask': 154.15, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694192967, 'impliedVolatility': 2.003911240234375, 'inTheMoney': True}"
145.0,2023-10-20,call,META231020C00145000,153.28,151.8,155.75,0.0,0.0,5.0,114.0,1.1225629809570314,META,False,META,297.89,2023-09-08 20:00:01,2023-09-06 14:08:23,"{'contractSymbol': 'META231020C00145000', 'strike': 145.0, 'currency': 'USD', 'lastPrice': 153.28, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 114, 'bid': 151.8, 'ask': 155.75, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1694009303, 'impliedVolatility': 1.1225629809570314, 'inTheMoney': True}"
145.0,2023-11-17,call,META231117C00145000,157.8,153.65,155.45,2.6500092,1.7080305,1.0,169.0,0.9758303198242189,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 15:57:57,"{'contractSymbol': 'META231117C00145000', 'strike': 145.0, 'currency': 'USD', 'lastPrice': 157.8, 'change': 2.6500092, 'percentChange': 1.7080305, 'volume': 1, 'openInterest': 169, 'bid': 153.65, 'ask': 155.45, 'contractSize': 'REGULAR', 'expiration': 1700179200, 'lastTradeDate': 1694188677, 'impliedVolatility': 0.9758303198242189, 'inTheMoney': True}"
145.0,2023-12-15,call,META231215C00145000,137.95,154.45,156.05,0.0,0.0,2.0,66.0,0.8870860900878905,META,False,META,297.89,2023-09-08 20:00:01,2023-08-25 17:53:10,"{'contractSymbol': 'META231215C00145000', 'strike': 145.0, 'currency': 'USD', 'lastPrice': 137.95, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 66, 'bid': 154.45, 'ask': 156.05, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1692985990, 'impliedVolatility': 0.8870860900878905, 'inTheMoney': True}"
